ESTC number,Library name,Lib VIAF id,shelfmark,copynote,prov info,prov info ID
S111244,Folger Shakespeare,427145424588186831488,STC 22326 Copy 4,"cs81. Untrimmed edges. The title leaf is damaged and repaired. Some corners are repaired. Red goatskin binding, signed by Frank Bedford.","bookseller's label of Pickering, London; inscribed on back free endpaper: ""... 1859 ... Sotheby 343 ...""; Charles H. Kalbfleisch copy (Folger file)",
S111215,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111215,University of Pennsylvania Van Pelt-Dietrich,136552639,Furness PR2825 .A1 1619,null,null,
S111215,University of Texas,141925602,Pforz 888,null,null,
S111215,New York Public Library,143013888,"*KC 1600 (Shakespeare, W. Most excellent Historie of the Merchant of Venice)",,With the Heber stamp; Lenox Collection,
S111215,"Yale University, Beinecke Rare Book and Manuscript",146865135,Eliz 180,Elizabethan Club.,null,
S111215,Henry E. Huntington Library and Art Gallery,147236009,59556,Binding signed by Macdonald. Inlaid.,"collated and with MS. notes by John P. Kemble, 1798; Devonshire copy",
S111215,Henry E. Huntington Library and Art Gallery,147236009,59553,Binding signed by C. Murton.,bookplate of the Bridgewater library,
S111215,British Library,149072094,C.34.k.22,null,null,
S111215,British Library,149072094,C.12.g.11,null,null,
S111215,British Library,149072094,C.12.g.32,null,null,
S111215,Harvard University Houghton Library,150194316,STC 22296,White copy. H.C. Bartlett &amp; A.W. Pollard.,null,
S111215,Victoria and Albert Museum National Art Library,12145424490986830227,[Shelfmark not available],[CM],null,
S111208,Oxford University Bodleian Library,129788129,Arch. G d.40 (4),,null,
S111208,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111208,"Yale University, Sterling Memorial",137836402,[Shelfmark not available],[CM],null,
S111208,New York Public Library,143013888,"*KC 1630 (Shakespeare, W. Merry VVives of Windsor)",null,null,
S111208,Henry E. Huntington Library and Art Gallery,147236009,69333,#NAME?,bookplate of the Bridgewater library,
S111208,British Library,149072094,C.34.k.28,null,null,
S111208,Harvard University Houghton Library,150194316,STC 22301,"H.C. Bartlett &amp; A.W. Pollard, Census, p. 62.",null,
S111206,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111206,Oxford University Bodleian Library,129788129,"Arch., G d,42 (4)",null,null,
S111206,Pierpont Morgan Library,139346252,W 08 C,null,"Mrs. Norton Q. Pope; Theodore Irwin collection; Pierpont Morgan. Binding: Blue morocco, gilt, brown morocco doublures, signed A. Motte; in blue library case",
S111206,University of Texas,141925602,Pforz 889,null,null,
S111206,New York Public Library,143013888,"*KC 1619 (Shakespeare, W. Shakespeare's plays; Pavier's collected edition, 1619)",Copy 1,null,
S111206,New York Public Library,143013888,"*KC 1619 (Shakespeare, W. Most pleasant and excellent conceited Comedy)",Copy 2,null,
S111206,Shakespeare Birthplace Trust,144533424,SR 35.22,83012001,"Purchased from Bernard Quaritch, 6th January 1908; Binding: bound in red morocco by Bedford",
S111206,Shakespeare Birthplace Trust,144533424,SR 35.22,"-A1, B2 and B3 supplied in MS. facsimile; bottom right corner repaired throughout, not affecting text; catalogue cutting pasted on front flyleaf; 81000057","Provenance: book label with motto 'sub robore virtus' + rampant lion facing left and medal below; Marked 'W. Jaggard copy' in pencil; J.O. Halliwell-Phillipps; Charles E. Flower (purchased at Sotheby's Halliwell-Phillipps sale, July 1889); presented by Charles E. Flower to the Shakespeare Memorial Library; Binding: bound in red morocco by Bedford",
S111206,The National Trust,144832259,CHA,null,"Purchased from WilliamPickering, November 29th 1838, for Â£6-6 (WarwickshireRecord Office, L6/1145/3).",
S111206,"Yale University, Beinecke Rare Book and Manuscript",146865135,1977 2353,"Imperfect: A1-B4, D2-D3, E4, F1 wanting and supplied in facsimile.",null,
S111206,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 182,"Eliz 182: Bound in red straight-grain goatskin, gold tooling on cover and spine, gilt edges. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale. Gift of Alexander S. Cochran, December 1911.",null,
S111206,Henry E. Huntington Library and Art Gallery,147236009,69332,Binding signed by F. Bedford.,bookplates of Frederick Locker and E.D. Church,
S111206,British Library,149072094,C.34.k.27,null,null,
S111206,British Library,149072094,C.12.g.24,null,null,
S111206,University of Akron,149200089,Rare Vault PR2826 .A1 1619,null,Herman Muehlstein rare book collection ; Bookplate of Harry Glemby,
S111206,Harvard University Houghton Library,150194316,STC 22300,"White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 62 (no. 513)",null,
S111206,Oxford University Balliol College,312537458,[Shelfmark not available],[CM],null,
S111206,Victoria and Albert Museum National Art Library,12145424490986830227,[Shelfmark not available],[CM],null,
S111204,"Oxford University, Bodleian Library",129788129,Arch. G d.45 (6),null,null,
S111204,Henry E. Huntington Library and Art Gallery,147236009,69331,Binding signed by F. Bedford.,"bookplates of Thos. Gaisford and E.D. Church; Locker-Lampson copy; Sotheby sale, 30 April 1890",
S111204,British Library,149072094,Huth.48,null,null,
S111203,National Library of Scotland,127333235,Bute.521,null,null,
S111203,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111203,"Boston Public, Main",133435180,[Shelfmark not available],null,null,
S111203,University of Texas,141925602,Pforz 897,null,null,
S111203,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 196,"Eliz 196: Bound by Lewis in green goatskin, gold tooling on cover and spine, gilt edges. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale. Gift of Alexander S. Cochran, December 1911.",null,
S111203,Henry E. Huntington Library and Art Gallery,147236009,69370,"Binding signed by the Club Bindery, 1901; Leon Maillard, finisher.",bookplate of E.D. Church,
S111203,British Library,149072094,C.34.k.60,"-t.p., supplied in MS",null,
S111203,British Library,149072094,C.12.g.16,- H1,null,
S111203,British Library,149072094,C.34.k.60,#ERROR!,null,
S111203,British Library,149072094,C.12.g.16,#REF!,null,
S111203,Harvard University,232866267,[Shelfmark not available],[CM],null,
S111203,Cambridge University Trinity College,119148995978659751937,Capell R.19[4],,null,
S111203,Folger Shakespeare,427145424588186831488,STC 22330 Copy 2,"cs0532. Inlaid. The t.p. is inlaid and mounted. MS. notes in the margins (cf. MS. note on t.p. in the hand of J.P. Kemble: ""The MS. variations in the margins ... are from the Revd. Mr. Todd's collation with the Duke of Bridgewater's copy 4to 1600 ...""). MS. price (?) on t.p. Closely inlaid, affecting words in title and imprint and some direction-lines. Green goatskin binding, signed by Macdonald.","inscribed on the first leaf: ""Collated &amp; Perfect. J.P.K. [John Philip Kemble] 1798.""; Devonshire Library copy; Huntington Library duplicate copy",
S111203,Folger Shakespeare,427145424588186831488,STC 22330 Copy 1,"cs0822. Wormed, affecting text in gatherings E-K. Half bound in dark blue goatskin.",Charles Jennens copy; William P.A. Curzon copy; Howe family library copy,
S111203,"Haverford College, Magill Library",not found,52,null,null,
S111200,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111200,"Oxford University, Bodleian Library",129788129,Arch. G e.19,null,null,
S111200,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111200,University of Texas,141925602,Pforz 894,null,null,
S111200,New York Public Library,143013888,"*KC 1635 (Shakespeare, W. Late, And much admired Play, calld Pericles, Prince of Tyre)",[CM],null,
S111200,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Ig 6qb 635,BEIN Ig 6qb 635: Bookplate of Frank J. Hogan.,null,
S111200,Henry E. Huntington Library and Art Gallery,147236009,69344,null,bookplate and stamp of the Bridgewater library,
S111200,British Library,149072094,C.34.k.41,null,null,
S111200,Harvard University,232866267,[Shelfmark not available],[CM],null,
S111198,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111198,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111198,University of Pennsylvania Van Pelt-Dietrich,136552639,Furness PK2830 .A1 1630,"wanting leaves G2-G4, I1, I2",null,
S111198,New York Public Library,143013888,[Shelfmark not available],[CM],null,
S111198,Henry E. Huntington Library and Art Gallery,147236009,69346,"Binding signed by Birdsall, Northampton.",Devonshire copy,
S111198,British Library,149072094,C.34.k.39,null,null,
S111198,Southern Illinois University,292697656,[Shelfmark not available],#ERROR!,null,
S111196,Edinburgh University Library,130215259,De.5.111,null,null,
S111196,Henry E. Huntington Library and Art Gallery,147236009,69369,Binding signed by C. Lewis.,bookplate of the Bridgewater library,
S111195,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111195,Oxford University Bodleian Library,129788129,Arch. G d.41 (2),null,null,
S111195,Edinburgh University Library,130215259,[Shelfmark not available],imp [CM],null,
S111195,Pierpont Morgan Library,139346252,W 08 C,null,Bookplates of Birket Foster and Pierpont Morgan; also an unidentified 19th century bookplate. Binding: Red morocco,
S111195,New York Public Library,143013888,[Shelfmark not available],[CM],null,
S111195,Shakespeare Birthplace Trust,144533424,SR 35.21,Page signature of $4 added in MS. pencil; 83011692,"Robert Hussey (1801-1856); John Haggard (1794 - 1856); purchased from Bernard Quaritch, October 1906; Binding: bound in red morocco by Riviere",
S111195,Shakespeare Birthplace Trust,144533424,SR 35.21,"-C1 and C4, replaced in facsimile; tp. damaged and mounted with tissue; 83000089",purchased 1867 from John Haggard; Binding: full brown russia with gold tooling and title,
S111195,"Yale University, Beinecke Rare Book and Manuscript",146865135,Eliz 181,null,null,
S111195,Henry E. Huntington Library and Art Gallery,147236009,59555,Binding signed by F. Bedford.,Frederick Locker-Lampson copy; bookplate of E.D. Church,
S111195,British Library,149072094,C.34.k.23,null,null,
S111195,British Library,149072094,C.12.g.31,null,null,
S111195,Birmingham Central Libraries,149618033,S336.16,299464,null,
S111195,Harvard University Houghton Library,150194316,STC 22297,Imperfect: leaves K3 and K4 in type facsle D,null,
S111195,Eton College Library,158913221,[Shelfmark not available],[CM],null,
S111194,Henry E. Huntington Library and Art Gallery,147236009,59522,Binding signed by F. Bedford. -Blank.,"Sotheby sale, 1863; signature of Will. Tite; bookplates of Frederick Locker and E.D. Church",
S111194,British Library,149072094,C.34.k.36,null,null,
S111194,"Senate House Library, University of London",152698174,[Shelfmark not available],lacks E4 [CM],null,
S111194,Hamburg Staats- und Universitatsbibliothek,316410924,[Shelfmark not available],[CM],null,
S111193,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111193,"Boston Public, Main",133435180,[Shelfmark not available],[CM],null,
S111193,"Yale University, Sterling Memorial",137836402,[Shelfmark not available],[CM],null,
S111193,Henry E. Huntington Library and Art Gallery,147236009,69363,null,"bookplates of Edward Vernon Utterson, Ives, Sir Robert Comyn, and E.D. Church",
S111193,Bibliothèque Nationale,151723291,[Shelfmark not available],[CM],null,
S111193,BibliothÃ¨que Nationale,151723291,[Shelfmark not available],[CM],null,
S111193,Harvard University,232866267,[Shelfmark not available],[CM],null,
S111193,Cambridge University King's College,316394825,Keynes.C.06.04,null,"Inscription and autograph of John Shaw, 1674, on L4 (r.) ; Inscription 'George Shure(?) his book, 1681' on L4 (v.) ; Keynes bequest.",
S111193,Cambridge University Trinity College,119148995978659751937,Capell S.37[5],tp def.,null,
S111193,Folger Shakespeare,427145424588186831488,STC 22325a,"cs0900. MS. markings and notes, including drawing on t.p. Title leaf is damaged, repaired, and partially backed; L4 cut and backed, obscuring MS. markings on verso. Half bound in dark blue goatskin.",Charles Jennens copy; William P.A. Curzon copy; Howe family library copy,
S111192,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111192,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111192,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111192,University of Pennsylvania Van Pelt-Dietrich,136552639,Furness STC 22298,#NAME?,null,
S111192,New York Public Library,143013888,"*KC 1637 (Shakespeare, W. Most excellent Historie of the Merchant of Venice)",null,null,
S111192,Shakespeare Birthplace Trust,144533424,SR 35.21,"I4 creased, slightly affecting text; 83000097",null,
S111192,Henry E. Huntington Library and Art Gallery,147236009,59554,Binding signed by F. Bedford. Cropped at head.,"stamp of Lenox Library, New York, with ""duplicate"" stamp; bookplate of E.D. Church",
S111192,British Library,149072094,C.34.k.24,null,null,
S111192,Harvard University Houghton Library,150194316,STC 22298,"White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p.56 (no.467)",null,
S111191,Edinburgh University Library,130215259,[Shelfmark not available],imp. [CM],null,
S111191,Henry E. Huntington Library and Art Gallery,147236009,69364,Binding signed by Tuckett. MS bibliographical notes.,William Tite copy; bookplates of Frederick Locker and E.D. Church,
S111191,British Library,149072094,C.34.k.56,null,null,
S111190,Dartmouth College,124255773,[Shelfmark not available],lacks tp [CM],null,
S111190,Oxford University Bodleian Library,129788129,Arch. G d.41 (5),,null,
S111190,"Oxford University, Bodleian Library",129788129,Pres. Films 604,null,null,
S111190,Shakespeare Birthplace Trust,144533424,SR 35.26,"-A1.4, I1.4; A1 replaced by type reprint; MS. ink signatures on A2r: ""John Jones, 1709"" and ""James Chesman""; on B1r: ""James Chesman his book""; on I2r: ""John Jones his book""; MS. ink correction ""greene"" to ""grave"" on F2r, line 27; MS. ink marks on C4r; formerly contained flyleaf with notes by James Orchard Halliwell-Phillipps and bookplate of John Fitchett Marsh; 81031890","signatures of John Jones and James Chesman; sold at Daniels sale, 1864; Halliwell-Phillipps' copy, purchased by Charles E. Flower at Halliwell-Phillipps' sale, July 1889 (no. 908) and sent to the SBT for safekeeping; deposited by the RSC",
S111190,Shakespeare Birthplace Trust,144533424,[Shelfmark not available],imp. [CM],null,
S111190,"Yale University, Beinecke Rare Book and Manuscript",146865135,Eliz 188,Elizabethan Club.,null,
S111190,Henry E. Huntington Library and Art Gallery,147236009,39000,F4 in MS.; -blank.,"Howe copy; collated by A.S.W. Rosenbach, 25 July 1922; bought by CSmH from Rosenbach, Jan. 1923",
S111190,British Library,149072094,C.12.h.5,Inlaid; tp. slightly mutilated,null,
S111188,Newberry,79547206,[Shelfmark not available],[CM],null,
S111188,"Oxford University, Bodleian Library",129788129,Arch. G d.45 (3),null,null,
S111188,Edinburgh University Library,130215259,[Shelfmark not available],imp. [CM],null,
S111188,University of Texas,141925602,Pforz 891,null,null,
S111188,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 185,"Eliz 185: Bound by F. Bedford in brown goatskin, gold tooling on cover and spine, gilt edges. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale. Gift of Alexander S. Cochran, December 1911.",null,
S111188,Henry E. Huntington Library and Art Gallery,147236009,69336,Bound by C. Lewis.,"Heber (2:5455) - Daniel - Lewis copy; bookplates of John Delaware Lewis, Frederick Locker, and E.D. Church",
S111188,British Library,149072094,C.34.k.31,#ERROR!,null,
S111188,British Library,149072094,C.12.g.29,null,null,
S111188,Harvard University Houghton Library,150194316,STC 22304,"White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 70 (no. 572)",null,
S111188,"Oxford University, St. John's College",151280387,STORE / ENGL / 670 / MUC,Armorial bookplate of George Maule Allen ex libris George Maule Allen,null,
S111188,Victoria and Albert Museum National Art Library,12145424490986830227,[Shelfmark not available],[CM],null,
S111186,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111186,Edinburgh University Library,130215259,[Shelfmark not available],imp. [CM],null,
S111186,University of Texas,141925602,Pforz 892,null,null,
S111186,New York Public Library,143013888,"*KC 1622 (Shakespeare, W. Tragoedy of Othello)",Imperfect: Numbers 81-88 omitted in paging,"The Herber copy. Binding: Bound in purple morocco, gilt",
S111186,The National Trust,144832259,PET,null,"Gilt centrepiece on both covers: crescent moon, surrounded by Garter motto with earl's coronet on top. Printed slip: Earl of Egremont, Petworth",
S111186,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 186,"Eliz 186: Bound in straight-grain blue goatskin, elaborate gold tooling on cover and spine, initials of George Daniel on the upper side of the cover, gilt edges. Sold with Daniel's books, by Sohteby's, 26 July 1864, lot 1439. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale. Gift of Alexander S. Cochran, December 1911.",null,
S111186,Henry E. Huntington Library and Art Gallery,147236009,69337,Binding signed by Macdonald. Inlaid.,"signature (and MS. stage directions?) of George Steevens; collated by John P. Kemble, 1804; Devonshire copy",
S111186,British Library,149072094,C.34.k.33,"-final 2 leaves, supplied in MS; t.p. mutilated",null,
S111186,British Library,149072094,C.34.k.32,null,null,
S111186,Harvard University Houghton Library,150194316,STC 22305,"White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 72 (no. 585.)",null,
S111186,Victoria and Albert Museum National Art Library,12145424490986830227,[Shelfmark not available],[CM],null,
S111184,Oxford University Bodleian Library,129788129,[Shelfmark not available],lacks M2 [CM],null,
S111184,Henry E. Huntington Library and Art Gallery,147236009,69365,"Binding signed by Birdsall, Northampton. T.p. mutilated.","signature and MS. note of George Steevens; stamp of Roxburghe arms; collated by John P. Kemble, 1814; Devonshire copy",
S111184,Henry E. Huntington Library and Art Gallery,147236009,69366,Binding signed by F. Bedford.,J.O. Halliwell-Phillipps - William Tite copy; bookplates of Frederick Locker and E.D. Church,
S111184,British Library,149072094,C.34.k.57,null,null,
S111184,Cambridge University Trinity College,119148995978659751937,Capell T.8[2],,null,
S111184,Folger Shakespeare,427145424588186831488,STC 22324,"cs612. MS. shelf-mark on front fly-leaf. Dark purple goatskin binding signed by Hall, Oxford.","armorial bookplate of Sir John Cope (motto ""aequo adeste animo"")",
S111183,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111183,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111183,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111183,New York Public Library,143013888,[Shelfmark not available],[CM],null,
S111183,Shakespeare Birthplace Trust,144533424,SR 35.18,"Closely trimmed at lower edge, affecting date of publication and some lines of text; MS. ink marks on K1v and K2v; 83026495","Ernest E. Baker's copy, with bookplate; donated by Mrs SB Davies, Hewish, near Bristol, 28th November 1945; Binding: bound in black morocco",
S111183,The National Trust,144832259,PET,null,"Gilt centrepiece on both covers: crescent moon, surrounded by garter motto with earl's coronet on top. Printed slip: Earl of Egremont, Petworth. Sprinkled calf, red sprinkled edges, double gilt fillet frame, gilt centrepieces (boxed).",
S111183,Henry E. Huntington Library and Art Gallery,147236009,69330,Binding signed by F. Bedford. T.p. repaired at inner margin.,Griswold copy; bookplate of E.D. Church,
S111183,British Library,149072094,C.34.k.21,null,null,
S111183,British Library,149072094,C.12.h.11,null,null,
S111183,Harvard University Houghton Library,150194316,STC 22295,"White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 47 (no. 402)",null,
S111182,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111182,"Oxford University, Bodleian Library",129788129,Arch. G d.40 (6),Note: For a full description of this volume please see the copy specific information attached to Arch. G d.40 (1).,null,
S111182,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111182,New York Public Library,143013888,"*KC 1630 (Shakespeare, W. Tragoedy of Othello, The Moore of Venice)",null,null,
S111182,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 187,"Eliz 187: Title page mended. Bound in straight-grain green goatskin, gold tooling with acorns on the cover. This is a style of binding made for J.B. Inglis about 1825 (Seymour de Ricci, English Collectors of Books and Manuscripts, pp. 97-98). Eliz 187: This copy was lot 104 in the Inglis sale by Sotheby's, 12 April 1826. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale. Gift of Alexander S. Cochran, December 1911.",null,
S111182,Henry E. Huntington Library and Art Gallery,147236009,69338,"Binding signed by Birdsall, Northampton. Cropped at head.",signature of John Williams; Devonshire copy,
S111182,Henry E. Huntington Library and Art Gallery,147236009,69348,Binding signed by F. Bedford.,bookplates of Frederick Locker and E.D. Church,
S111182,British Library,149072094,C.34.k.34,"- pp.21, 22 (supplied in MS.)",null,
S111182,British Library,149072094,C.12.g.28,null,null,
S111182,Harvard University Houghton Library,150194316,STC 22306,"White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 74 (no. 609.)",null,
S111182,"Senate House Library, University of London",152698174,[S.L.] I [Shakespeare - 1630] (S),null,null,
S111182,Cambridge University Emmanuel College,316394819,[Shelfmark not available],[CM],null,
S111182,Victoria and Albert Museum National Art Library,12145424490986830227,38041800826158,,Dyce Collection,
S111181,Newberry,79547206,[Shelfmark not available],[CM],null,
S111181,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111181,Edinburgh University Library,130215259,De.3.74,null,null,
